source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2026-03-27_supplementary_1_a7679c6054.pdf,2026-03-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-27_supplementary_1_b5f5c36ddf.pdf,2026-03-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-27_supplementary_1_dce5a1a85e.pdf,2026-03-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-30_daily_564d531c31.pdf,2026-03-30,daily,541,489
raw_appellate_cl/pdfs/2026-03-30_supplementary_1_123a1486c4.pdf,2026-03-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-30_supplementary_1_43b58fcdaa.pdf,2026-03-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-30_supplementary_1_62fdff8979.pdf,2026-03-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-30_supplementary_1_b78d73d4c9.pdf,2026-03-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-30_supplementary_1_b8bdad74fc.pdf,2026-03-30,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-31_daily_eb8d573f4e.pdf,2026-03-31,daily,544,513
raw_appellate_cl/pdfs/2026-03-31_supplementary_1_18270170ad.pdf,2026-03-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-31_supplementary_1_1ab65a7078.pdf,2026-03-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-31_supplementary_1_251f44592f.pdf,2026-03-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-31_supplementary_1_2c50ef0bba.pdf,2026-03-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-31_supplementary_1_db9ab76b09.pdf,2026-03-31,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-04-01_daily_22e7b8003c.pdf,2026-04-01,daily,497,526
